date,valeur,couleur_html,qualificatif,type_valeur
2020-02-09,33.41208786496,#99E600,Bon,réelle
2020-02-08,32.4643152832806,#99E600,Bon,réelle
2020-02-07,59.900119557767,#FFFF00,Moyen,réelle
2020-02-06,38.1259429423818,#99E600,Bon,réelle
2020-02-05,26.8818272054678,#5CCB60,Bon,réelle
2020-02-04,28.0717918099537,#5CCB60,Bon,réelle
2020-02-03,67.1143426649848,#FFD100,Médiocre,réelle
2020-02-02,22.9869353562649,#5CCB60,Bon,réelle
2020-02-01,31.488352684665,#99E600,Bon,réelle
2020-01-31,46.244529464095,#C3F000,Bon,réelle
2020-01-30,31.0363093333286,#99E600,Bon,réelle
2020-01-29,28.563024473178,#5CCB60,Bon,réelle
2020-01-28,28.4007329891723,#5CCB60,Bon,réelle
2020-01-27,31.735905999036,#99E600,Bon,réelle
2020-01-26,44.3295107062146,#C3F000,Bon,réelle
2020-01-25,96.7102286053183,#FF0000,Mauvais,réelle
2020-01-24,99.9677839489184,#FF0000,Mauvais,réelle
2020-01-23,95.9379259082001,#FF0000,Mauvais,réelle
2020-01-22,90.4104343051462,#FF0000,Mauvais,réelle
2020-01-21,47.9092623783554,#C3F000,Bon,réelle
2020-01-20,18.903049332167,#32B8A3,Très bon,réelle
2020-01-19,24.6493162200324,#5CCB60,Bon,réelle
2020-01-18,26.8579262217833,#5CCB60,Bon,réelle
2020-01-17,33.9876484561481,#99E600,Bon,réelle
2020-01-16,31.062354833639,#99E600,Bon,réelle
2020-01-15,33.5045442027152,#99E600,Bon,réelle
2020-01-14,31.2193542040358,#99E600,Bon,réelle
2020-01-13,71.8462531888368,#FFAA00,Médiocre,réelle
2020-01-12,38.0802509026607,#99E600,Bon,réelle
2020-01-11,19.0575928851374,#32B8A3,Très bon,réelle
2020-01-10,26.5195076626376,#5CCB60,Bon,réelle
2020-01-09,30.6760651291685,#99E600,Bon,réelle
2020-01-08,47.6914555849232,#C3F000,Bon,réelle
2020-01-07,45.4605011034904,#C3F000,Bon,réelle
2020-01-06,66.7269461132235,#FFD100,Médiocre,réelle
2020-01-05,26.7268339957855,#5CCB60,Bon,réelle
2020-01-04,26.7045241050814,#5CCB60,Bon,réelle
2020-01-03,70.6763501914958,#FFAA00,Médiocre,réelle
2020-01-02,52.2306709132519,#FFFF00,Moyen,réelle
2020-01-01,55.5685072744089,#FFFF00,Moyen,réelle
2019-12-31,88.7052322868179,#FF5E00,Médiocre,réelle
2019-12-30,59.6344762079879,#FFFF00,Moyen,réelle
2019-12-29,29.9646736220191,#5CCB60,Bon,réelle
2019-12-28,15.6487799414613,#32B8A3,Très bon,réelle
2019-12-27,19.4116802512427,#32B8A3,Très bon,réelle
2019-12-26,30.4102142455224,#99E600,Bon,réelle
2019-12-25,26.838383449306,#5CCB60,Bon,réelle
2019-12-24,26.7289439234335,#5CCB60,Bon,réelle
2019-12-23,30.1025452876727,#99E600,Bon,réelle
2019-12-22,28.5460758740385,#5CCB60,Bon,réelle
2019-12-21,23.6815512091639,#5CCB60,Bon,réelle
2019-12-20,30.5730937421513,#99E600,Bon,réelle
2019-12-19,30.1662927738241,#99E600,Bon,réelle
2019-12-18,56.6359577194003,#FFFF00,Moyen,réelle
2019-12-17,33.2314296337235,#99E600,Bon,réelle
2019-12-16,29.8894425952262,#5CCB60,Bon,réelle
2019-12-15,21.4349279207714,#5CCB60,Bon,réelle
2019-12-14,25.8926170283411,#5CCB60,Bon,réelle
2019-12-13,28.5729169208391,#5CCB60,Bon,réelle
2019-12-12,29.3831983156211,#5CCB60,Bon,réelle
2019-12-11,35.5078686210104,#99E600,Bon,réelle
2019-12-10,29.0784348319096,#5CCB60,Bon,réelle
2019-12-09,26.748417517955,#5CCB60,Bon,réelle
2019-12-08,40.9031611507758,#C3F000,Bon,réelle
2019-12-07,87.5299679979123,#FF5E00,Médiocre,réelle
2019-12-06,92.0686299025956,#FF0000,Mauvais,réelle
2019-12-05,94.8514861143768,#FF0000,Mauvais,réelle
2019-12-04,92.2316477551359,#FF0000,Mauvais,réelle
2019-12-03,35.7296877358716,#99E600,Bon,réelle
2019-12-02,18.5154452465387,#32B8A3,Très bon,réelle
2019-12-01,12.0904734355787,#32B8A3,Très bon,réelle
2019-11-30,21.466196356735,#5CCB60,Bon,réelle
2019-11-29,26.3352175887283,#5CCB60,Bon,réelle
2019-11-28,26.9439144206831,#5CCB60,Bon,réelle
2019-11-27,27.8701380691708,#5CCB60,Bon,réelle
2019-11-26,50.4627590781073,#FFFF00,Moyen,réelle
2019-11-25,38.0109000020998,#99E600,Bon,réelle
2019-11-24,21.5643944648109,#5CCB60,Bon,réelle
2019-11-23,19.3287704713703,#32B8A3,Très bon,réelle
2019-11-22,19.0912825495495,#32B8A3,Très bon,réelle
2019-11-21,44.6685864559392,#C3F000,Bon,réelle
2019-11-20,49.6577006189785,#C3F000,Bon,réelle
2019-11-19,19.2059796000531,#32B8A3,Très bon,réelle
2019-11-18,39.7037191663629,#99E600,Bon,réelle
2019-11-17,42.3192339033744,#C3F000,Bon,réelle
2019-11-16,30.2197327445805,#99E600,Bon,réelle
2019-11-15,19.2175669076281,#32B8A3,Très bon,réelle
2019-11-14,22.1059540907864,#5CCB60,Bon,réelle
2019-11-13,23.419228401257,#5CCB60,Bon,réelle
2019-11-12,22.9636915631592,#5CCB60,Bon,réelle
2019-11-11,24.2481878440703,#5CCB60,Bon,réelle
2019-11-10,21.5602437874706,#5CCB60,Bon,réelle
2019-11-09,20.8615810241648,#5CCB60,Bon,réelle
2019-11-08,20.0712228806162,#5CCB60,Bon,réelle
2019-11-07,15.9398461899498,#32B8A3,Très bon,réelle
2019-11-06,19.4206042075244,#32B8A3,Très bon,réelle
2019-11-05,18.93400646733,#32B8A3,Très bon,réelle
2019-11-04,16.8574917719342,#32B8A3,Très bon,réelle
2019-11-03,34.7533446584998,#99E600,Bon,réelle
2019-11-02,22.4089189476504,#5CCB60,Bon,réelle
2019-11-01,23.2713605210088,#5CCB60,Bon,réelle
2019-10-31,26.1077604704799,#5CCB60,Bon,réelle
