date,valeur,qualificatif,temperature,humidity
2019-10-01,35.4092554452005,Bon,291.60897435897425,79.32478632478633
2019-10-02,23.512584052435898,Bon,289.8317596566523,75.34978540772532
2019-10-03,34.669224264403,Bon,288.22960526315796,72.03947368421052
2019-10-04,21.981364592621798,Bon,289.4504282655247,77.38758029978587
2019-10-05,21.669475779476198,Bon,290.004077253219,78.33690987124463
2019-10-06,23.437525970532104,Bon,289.6585152838427,78.27510917030568
2019-10-07,26.1166844267615,Bon,288.7618421052631,76.96052631578948
2019-10-08,24.675949732966,Bon,290.1316993464056,77.3202614379085
2019-10-09,16.9615354172643,Très bon,289.00032258064493,78.98924731182795
2019-10-10,22.1893481163486,Bon,289.2534334763948,75.33261802575107
2019-10-11,33.764999205818896,Bon,290.0744111349036,75.93147751605996
2019-10-12,30.515952750766502,Bon,291.3367803837955,79.78464818763327
2019-10-13,37.750029931262,Bon,292.5340085287848,76.47334754797441
2019-10-14,37.1659258625485,Bon,291.41559829059815,78.93589743589743
2019-10-15,26.577271255623398,Bon,289.1395966029726,80.06581740976645
2019-10-16,21.127051429054802,Bon,288.94658848614057,78.44776119402985
2019-10-17,30.755516011257402,Bon,289.247654584222,81.03624733475479
2019-10-18,28.3038492622542,Bon,289.2357142857143,81.60554371002132
2019-10-19,40.375713827757295,Bon,289.35170940170946,83.78632478632478
2019-10-20,39.920107811703794,Bon,289.2264453961458,83.85867237687366
2019-10-21,16.9084067473085,Très bon,288.10053533190563,84.19914346895075
2019-10-22,12.6931171964123,Très bon,287.8107218683653,85.25053078556263
2019-10-23,23.574083255028,Bon,289.12840172786173,83.50323974082073
2019-10-24,29.531412085647602,Bon,288.9454248366014,82.44662309368192
2019-10-25,23.261191361525103,Bon,289.43282608695665,81.36739130434782
2019-10-26,22.1277105578452,Bon,289.6281115879826,78.54721030042919
2019-10-27,34.2463048324044,Bon,288.66800847457625,79.73516949152543
2019-10-28,29.3403079831047,Bon,288.1165961945031,83.4186046511628
2019-10-29,21.1547572003013,Bon,288.09270613107844,83.78858350951374
2019-10-30,17.802670180275896,Très bon,288.08263157894737,86.09894736842105
2019-10-31,26.1077604704799,Bon,288.4453684210526,85.93684210526315
2019-11-01,23.271360521008802,Bon,288.8444915254238,87.64406779661017
2019-11-02,22.4089189476504,Bon,288.9028662420382,83.94692144373673
2019-11-03,34.7533446584998,Bon,287.8548936170215,82.66808510638297
2019-11-04,16.8574917719342,Très bon,288.08068669527904,80.66309012875537
2019-11-05,18.934006467329997,Très bon,286.6985169491528,81.62288135593221
2019-11-06,19.4206042075244,Très bon,286.2339826839829,82.03679653679653
2019-11-07,15.939846189949801,Très bon,285.24134199134187,80.05844155844156
2019-11-08,20.0712228806162,Bon,284.41468085106425,82.60425531914893
2019-11-09,20.8615810241648,Bon,284.42052631578946,81.09473684210526
2019-11-10,21.560243787470604,Bon,284.1343220338984,80.32627118644068
2019-11-11,24.2481878440703,Bon,284.49038461538436,80.61752136752136
2019-11-12,22.9636915631592,Bon,284.67943632567835,78.5553235908142
2019-11-13,23.419228401257,Bon,284.37935010482187,79.09433962264151
2019-11-14,22.1059540907864,Bon,283.59829875518705,82.84854771784232
2019-11-15,19.217566907628104,Très bon,282.9733471074382,85.32851239669421
2019-11-16,30.219732744580497,Bon,283.43309278350495,83.53814432989691
2019-11-17,42.3192339033744,Bon,283.34081419624215,83.20041753653445
2019-11-18,39.7037191663629,Bon,283.53807531380755,82.4623430962343
2019-11-19,19.2059796000531,Très bon,283.65186721991716,81.70331950207469
2019-11-20,49.6577006189785,Bon,282.87262156448185,83.70824524312897
2019-11-21,44.668586455939206,Bon,284.0919287211738,84.9538784067086
2019-11-22,19.0912825495495,Très bon,285.5621276595746,82.04893617021277
2019-11-23,19.3287704713703,Très bon,286.49853556485357,84.8765690376569
2019-11-24,21.5643944648109,Bon,285.66746361746357,85.57380457380458
2019-11-25,38.010900002099795,Bon,286.57196652719676,86.11087866108787
2019-11-26,50.4627590781073,Moyen,287.44578947368404,84.22736842105263
2019-11-27,27.8701380691708,Bon,287.60801687763706,82.01054852320675
